Va_rms,Vb_rms,Vc_rms,Ia_rms,Ib_rms,Ic_rms,Va_mag,Va_ang,Ra,Xa,Vb_mag,Vb_ang,Rb,Xb,Vc_mag,Vc_ang,Rc,Xc,RFault,A,B,C,G
6550.016413,6808.415689,6619.419001,0.006550016,0.006808416,0.006619419,9263.122045,-1.601985297,1000000.003,-0.108599657,9628.553805,2.609906053,1000000.09,0.052492807,9361.272126,0.554356748,999999.9089,0.057085101,1,0,0,0,0
6549.286656,6808.952467,6618.559808,0.006549287,0.006808952,0.00661856,9262.090013,-1.601905909,1000000.003,-0.108613396,9629.312924,2.609738469,1000000.09,0.052500946,9360.057044,0.554577844,999999.9089,0.057116868,1,0,0,0,0
6549.003789,6809.158752,6620.366066,0.006549004,0.006809159,0.006620366,9261.689978,-1.602105229,1000000.003,-0.108617179,9629.604655,2.60976879,1000000.09,0.052495512,9362.611478,0.554492718,999999.9089,0.057094258,1,0,0,0,0
6550.510923,6809.362425,6618.407485,0.006550511,0.006809362,0.006618407,9263.821388,-1.601820406,1000000.003,-0.108593946,9629.892692,2.609759277,1000000.09,0.052496989,9359.841627,0.554689053,999999.9089,0.057127863,1,0,0,0,0
6550.103957,6807.760769,6620.411122,0.006550104,0.006807761,0.006620411,9263.24585,-1.60205889,1000000.003,-0.108598013,9627.627609,2.60986635,1000000.09,0.052498899,9362.675198,0.554646447,999999.9089,0.057105431,1,0,0,0,0
6552.120091,6812.792688,6619.847495,0.00655212,0.006812793,0.006619847,9266.097095,-1.601919114,1000000.003,-0.108567732,9634.743817,2.608975572,1000000.09,0.052533419,9361.878108,0.554848816,999999.909,0.057138433,1,0,0,0,0
6549.162435,6807.649521,6618.985424,0.006549162,0.00680765,0.006618985,9261.914338,-1.602099725,1000000.003,-0.108612837,9627.470281,2.609985124,1000000.09,0.052493748,9360.658955,0.554048389,999999.9089,0.057057962,1,0,0,0,0
6551.234097,6809.873679,6618.756961,0.006551234,0.006809874,0.006618757,9264.844111,-1.601616164,1000000.003,-0.10858071,9630.615715,2.609791478,1000000.09,0.052490135,9360.33586,0.554658175,999999.9089,0.057120227,1,0,0,0,0
6550.164605,6808.838359,6621.446319,0.006550165,0.006808838,0.006621446,9263.331619,-1.601893111,1000000.003,-0.108595671,9629.151551,2.609828525,1000000.09,0.052491665,9364.139186,0.55463166,999999.909,0.057095648,1,0,0,0,0
6547.30033,6808.608958,6620.13086,0.0065473,0.006808609,0.006620131,9259.280923,-1.601920124,1000000.003,-0.108642945,9628.827129,2.609713473,1000000.09,0.052501812,9362.278847,0.554413423,999999.9089,0.057088935,1,0,0,0,0
6550.217806,6810.030989,6618.608973,0.006550218,0.006810031,0.006618609,9263.406858,-1.601880373,1000000.003,-0.108600023,9630.838185,2.609889297,1000000.09,0.052481432,9360.126574,0.554599315,999999.9089,0.057118022,1,0,0,0,0
6553.032625,6807.693837,6617.766212,0.006553033,0.006807694,0.006617766,9267.387612,-1.601873443,1000000.003,-0.108551395,9627.532953,2.609923004,1000000.09,0.052501467,9358.934729,0.554591314,999999.9089,0.057117617,1,0,0,0,0
53.77787396,61.27271334,57.89732867,53.52499176,64.03159654,54.34475782,76.05339871,-2.894455045,1.004724165,-0.00089502,86.6527022,1.30243397,0.951478567,0.101845015,81.87918744,-0.90991616,1.059381075,0.11281442,1,1,1,1,1
57.25344341,62.25269172,58.60015471,57.25316607,62.25226545,58.60105793,80.96859616,-3.033764421,1.000004844,-1.36E-05,88.03860092,1.13137536,1.000006847,1.11E-05,82.87313355,-1.025488583,0.999984587,4.38E-07,1,1,1,1,1
59.07972601,63.38987581,58.99718893,59.07984266,63.38980648,58.99733284,83.55134979,-3.029749337,0.999998026,-2.04E-06,89.64682208,1.115003116,1.000001094,2.58E-07,83.43462472,-1.021285199,0.999997561,1.75E-06,1,1,1,1,1
59.61461862,63.12982891,59.69086574,59.61486045,63.12982357,59.69081581,84.30780217,-3.036154505,0.999995943,5.50E-07,89.27906023,1.119456845,1.000000085,-2.72E-06,84.41563188,-1.009605756,1.000000837,2.50E-06,1,1,1,1,1
61.12753401,63.70872539,60.10468897,61.12777414,63.70878416,60.10457218,86.44738763,-3.032203075,0.999996072,1.77E-06,90.09774349,1.112935643,0.999999078,-3.28E-06,85.0008663,-0.997113874,1.000001943,1.86E-06,1,1,1,1,1
62.48784727,64.41550669,60.02020347,62.48810103,64.41556827,60.0200673,88.37116109,-3.019192279,0.999995939,1.98E-06,91.09728319,1.106903179,0.999999044,-3.54E-06,84.88138576,-0.984262907,1.000002269,1.93E-06,1,1,1,1,1
60.37078044,62.8605681,60.43116745,60.37102766,62.86063607,60.43103582,85.37717648,-3.060661061,0.999995905,1.98E-06,88.89826794,1.104906689,0.999998919,-3.53E-06,85.46257659,-1.01362452,1.000002178,1.84E-06,1,1,1,1,1
60.93785496,62.7031127,61.14074203,60.93812528,62.70317188,61.140598,86.17914095,-3.074559666,0.999995564,1.98E-06,88.67559238,1.100805412,0.999999056,-3.85E-06,86.4660666,-1.011773684,1.000002356,2.09E-06,1,1,1,1,1
62.41390788,63.24928731,61.2112947,62.41417149,63.24934999,61.21115126,88.266595,-3.062721703,0.999995776,1.98E-06,89.44799993,1.095953508,0.999999009,-3.73E-06,86.56584313,-0.995110476,1.000002343,1.93E-06,1,1,1,1,1
60.10499678,61.76946042,61.75323877,60.10526033,61.76952461,61.75309999,85.00130162,-3.10201776,0.999995615,1.93E-06,87.35520866,1.101559158,0.999998961,-3.79E-06,87.33226779,-1.023279036,1.000002247,1.96E-06,1,1,1,1,1
62.02093522,62.61244451,61.72330841,62.02119921,62.61250657,61.72316766,87.71084773,-3.084183629,0.999995744,1.92E-06,88.54736819,1.093204116,0.999999009,-3.74E-06,87.28993986,-1.003621879,1.00000228,1.91E-06,1,1,1,1,1
62.61187759,61.7378147,63.12137591,62.61214719,61.73787338,63.12123663,88.54656646,-3.126968642,0.999995694,1.78E-06,87.31045487,1.078972381,0.99999905,-3.81E-06,89.26710589,-1.011866623,1.000002207,1.89E-06,1,1,1,1,1
62.5351282,62.23550664,62.50576857,62.53539491,62.23556777,62.50562782,88.43802642,-3.106199543,0.999995735,1.86E-06,88.01429755,1.084423157,0.999999018,-3.77E-06,88.39650564,-1.00654367,1.000002252,1.88E-06,1,1,1,1,1
63.09564313,62.80752356,62.10055458,63.09590814,62.80758523,62.10041259,89.23071424,-3.087193961,0.9999958,1.90E-06,88.82325163,1.085627884,0.999999018,-3.74E-06,87.82344652,-0.996553103,1.000002286,1.87E-06,1,1,1,1,1
62.26502335,62.40007451,62.19749662,62.26528872,62.40013617,62.19735614,88.05604048,-3.09756042,0.999995738,1.88E-06,88.24703167,1.088340422,0.999999012,-3.76E-06,87.96054327,-1.006297251,1.000002259,1.90E-06,1,1,1,1,1
62.64538151,62.43790821,62.37878308,62.64564794,62.4379687,62.37864267,88.59394815,-3.099920259,0.999995747,1.86E-06,88.3005366,1.085474294,0.999999031,-3.76E-06,88.21692104,-1.004143803,1.000002251,1.89E-06,1,1,1,1,1
62.16125273,62.07311206,62.4781843,62.16151944,62.07317305,62.47804426,87.90928667,-3.108733691,0.999995709,1.85E-06,87.78463694,1.086384386,0.999999017,-3.78E-06,88.35749559,-1.009759069,1.000002242,1.90E-06,1,1,1,1,1
62.47885167,62.45019363,62.21396686,62.47911657,62.45025526,62.21382652,88.35843939,-3.096687866,0.99999576,1.88E-06,88.3179108,1.087088524,0.999999013,-3.75E-06,87.9838357,-1.004206187,1.000002256,1.88E-06,1,1,1,1,1
6551.806648,6805.322524,6620.749839,0.006551807,0.006805323,0.00662075,9265.653819,-1.601329166,1000000.003,-0.108557048,9624.179409,2.609717792,1000000.09,0.052530608,9363.154215,0.554116714,999999.9089,0.057040822,10,0,0,0,0
6549.62023,6809.240288,6619.222036,0.00654962,0.00680924,0.006619222,9262.561757,-1.601779046,1000000.003,-0.108606048,9629.719965,2.609752418,1000000.09,0.052497118,9360.993576,0.554499242,999999.9089,0.05710294,10,0,0,0,0
6549.566083,6809.161582,6620.104022,0.006549566,0.006809162,0.006620104,9262.485182,-1.601750223,1000000.003,-0.108606771,9629.608658,2.609820433,1000000.09,0.052490166,9362.240893,0.554663492,999999.9089,0.057111411,10,0,0,0,0
6549.072576,6809.157555,6619.925695,0.006549073,0.006809158,0.006619926,9261.787258,-1.601911941,1000000.003,-0.108615932,9629.602963,2.609803694,1000000.09,0.052492154,9361.9887,0.554604172,999999.9089,0.057108535,10,0,0,0,0
6551.078492,6809.249291,6619.09091,0.006551078,0.006809249,0.006619091,9264.624052,-1.601845242,1000000.003,-0.108582929,9629.732697,2.609717104,1000000.09,0.052501774,9360.808136,0.554602322,999999.9089,0.057113198,10,0,0,0,0
6550.504939,6809.109447,6618.678121,0.006550505,0.006809109,0.006618678,9263.812925,-1.602020651,1000000.003,-0.108594353,9629.534928,2.609869596,1000000.09,0.05249157,9360.224363,0.554521799,999999.9089,0.057109384,10,0,0,0,0
6549.503329,6808.768401,6620.013519,0.006549503,0.006808768,0.006620014,9262.396435,-1.601776376,1000000.003,-0.108607152,9629.052616,2.609849469,1000000.09,0.052491493,9362.112902,0.554559271,999999.9089,0.057101217,10,0,0,0,0
6550.082248,6809.617557,6618.584192,0.006550082,0.006809618,0.006618584,9263.21515,-1.601817083,1000000.003,-0.108601577,9630.253504,2.610041461,1000000.09,0.052472459,9360.091528,0.554526409,999999.9089,0.057109935,10,0,0,0,0
6550.551008,6809.510602,6618.619733,0.006550551,0.006809511,0.00661862,9263.878077,-1.6019019,1000000.003,-0.108593711,9630.102247,2.60984863,1000000.09,0.052489367,9360.141791,0.554606324,999999.9089,0.057118362,10,0,0,0,0
6550.103447,6809.317536,6619.310084,0.006550103,0.006809318,0.00661931,9263.245129,-1.601825595,1000000.003,-0.10859908,9629.829209,2.609866483,1000000.09,0.052487961,9361.118094,0.554525288,999999.9089,0.057104016,10,0,0,0,0
6550.652959,6808.793839,6619.03313,0.006550653,0.006808794,0.006619033,9264.022257,-1.601988921,1000000.003,-0.108591546,9629.08859,2.610045603,1000000.09,0.052479545,9360.726422,0.554498643,999999.9089,0.057102355,10,0,0,0,0
6550.509023,6809.856954,6618.887583,0.006550509,0.006809857,0.006618888,9263.818701,-1.601892107,1000000.003,-0.108593524,9630.592062,2.609662623,1000000.09,0.052501201,9360.520588,0.5546052,999999.9089,0.05711729,10,0,0,0,0
6550.676566,6808.729751,6619.976609,0.006550677,0.00680873,0.006619977,9264.055642,-1.601759457,1000000.003,-0.108588149,9628.997957,2.60993478,1000000.09,0.052486293,9362.060703,0.554586579,999999.9089,0.057102265,10,0,0,0,0
